iin_start,country,bank_name,bank_url,bank_city
405428,US,UNIVERSITY FEDERAL CREDIT UNION,,
405433,SA,AL RAJHI,,
405494,US,COMMUNITY AND SOUTHERN,,
405533,IN,ICICI,,
405610,US,TRULIANT FEDERAL CREDIT UNION,,
405771,MY,CITIBANK,,
405818,US,WEST GATE BANK,,
405902,US,F&A FEDERAL CREDIT UNION,,
405919,TR,HSBC,,
405921,ES,CARREFOUR,,
406001,GR,ALPHA,,
406019,US,FIRST CITIZENS BANK AND TRUST COMPANY OF SOUTH CAR,,
406021,US,LYONS NATIONAL,,
406032,US,CHASE,,
406041,US,NAVY FEDERAL CREDIT UNION,,
406042,US,CHASE,,
406043,US,,,
406045,US,CHASE,,
406049,US,SYNOVUS,,
406050,US,BRIGHTSTAR CREDIT UNION,,
406053,US,HUDSON HERITAGE FEDERAL CREDIT UNION,,
406068,US,CHASE,,
406076,US,CREDIT UNION OF SOUTHERN CALIFORNIA,,
406080,US,COAST CENTRAL CREDIT UNION,,
406095,US,NAVY FEDERAL CREDIT UNION,,
406130,MX,,,
406168,BR,CARREFOUR,,
406228,IN,AXIS,,
406315,US,NAVY FEDERAL CREDIT UNION,,
406498,US,SMI ONE,,
406655,BR,BRADESCO,,
406669,BR,BRADESCO,,
407050,US,HENRICO FEDERAL CREDIT UNION,,
407057,US,MOUNTAIN AMERICA CREDIT UNION,,
407110,US,WELLS FARGO,,
407166,US,CHASE,,
407204,US,UW CREDIT UNION,,
407220,AU,ANZ,,
407221,US,WELLS FARGO,,
407284,MY,HONGLEONGBANK,,
407303,BR,SANTANDER,,
407433,BR,CITIBANK,,
407458,MX,BANAMEX,,
407505,BR,ITAU,,
407714,US,USBANK,,
407715,US,U.S.,,
407807,US,INTERBANK,,
407871,US,BANK OF AMERICA,,
407892,US,BANK OF AMERICA,,
407928,US,ATHENS STATE,,
408104,US,DESERT SCHOOLS FEDERAL CREDIT UNION,,
408106,US,SCHLUMBERGER EMPLOYEES CREDIT UNION,,
408161,US,CHASE,,
408185,US,CEDAR POINT FEDERAL CREDIT UNION,,
408244,MX,BANAMEX,,
408328,TG,BTCI,,
408490,BE,FINTRO,,
408530,US,EAST BOSTON SAVINGS BANK,,
408540,US,TD BANKNORTH,,
408577,US,ROCKPORT NATIONAL BANK,,
408597,QA,,,
408620,US,BELLCO,,
408687,US,NEIGHBORS CREDIT UNION,,
409015,ES,BBVA,,
409070,TR,DENIZBANK,,
409153,US,SABINE STATE,,
409259,US,AMERICAN NATIONAL BANK OF TEXAS,,
409263,US,TRAVIS CREDIT UNION,,
409308,BR,SANTANDER,,
409311,US,BB&T,,
409483,US,TCCU,,
409486,US,GEFCU,,
409531,US,TICONDEROGA FEDERAL CREDIT UNION,,
409600,BR,BRADESCO,,
409601,BR,BRADESCO,,
409602,BR,BRADESCO,,
409603,BR,BRADESCO,,
409609,US,LEGACY,,
409636,SG,,,
409666,CN,BANK OF CHINA,,
409675,ID,HSBC,,
409851,MX,BBVA BANCOMER,,
409912,BO,GANADERO,,
409970,US,REGIONS,,
409982,US,NEW MEXICO EDUCATORS FEDERAL CREDIT UNION,,
410063,US,REGIONS,,
410118,US,FIRST FINANCIAL,,
410131,RS,PROCREDIT BANK,www.procreditbank-kos.com,Prishtine
410180,MX,BBVA BANCOMER,,
410181,MX,BBVA BANCOMER,,
410280,US,AMEGY,,
410368,AT,RAIFFEISENBANK,,
410489,US,RUSH CARD,,
410505,ID,PT. BANK NEGARA INDONESIA (PERSERO) TBK.,,
410626,ES,BANCO SABADELL,,
410651,NO,SPAREBANK 1,,
410687,RS,RAIFFEISEN BANK,www.raiffeisen-kosovo.com,Prishtine
410791,US,,,
410839,US,NATIONAL BANK OF BLACKSBURG,,
410843,US,BELCO,,
410852,MX,,,
410863,BR,SANTANDER,,
410894,US,BB&T,,
410970,GB,SAGA,,
410998,US,LYNNVILLE NATIONAL,,
411016,VE,BANESCO,,
411079,US,BB&T,,
411097,VE,BBVA PROVINCIAL,,
411399,US,GREATER  ABBEVILLE FEDERAL CREDIT UNION,,
411507,US,CAPITAL ONE BANK,,
411583,US,SEACOMM FEDERAL CREDIT UNION,,
411770,US,BANK OF AMERICA,,
411773,US,BANK OF AMERICA,,
411777,US,BANK OF AMERICA,,
411816,US,CHASE,,
411904,KR,"KOREA EXCHANGE BANK CREDIT SERVICE CO., LTD.",,
411911,SG,DBS,,
412025,US,ECCBANK,,
